message_id,creation_time,source,destination,size,true_priority,predicted_priority,tweet_id
M94,8494,1,63,356968,3,3,592894785955966976
M95,8613,37,62,237229,2,3,592601585475145728
M96,8718,48,67,420618,3,3,591939569093713920
M97,8781,53,68,176945,3,3,592293901278572544
M98,8850,47,62,260398,3,3,592324159067197440
M99,8943,27,70,180338,3,3,593331668200476672
M100,9052,54,64,280086,1,1,592277759575105536
M101,9116,1,68,259580,1,1,592087835450220544
M102,9217,40,62,469719,3,3,592950352883916800
M103,9323,30,71,301560,4,4,591973820002476032
M104,9431,41,73,128493,3,3,592339203234619392
M105,9544,52,69,191418,2,1,592691422144417792
M106,9615,9,64,162480,3,2,592321947624550400
M107,9708,46,68,353848,1,1,592287855327612928
M108,9816,1,77,489133,3,3,593101875710275584
M109,9897,27,73,183680,3,3,592141687754883072
M110,9968,3,61,465301,4,4,592344160969084928
M111,10057,14,66,470641,1,1,593201567072911360
M112,10121,57,72,158747,4,4,593351139644428288
M113,10194,24,72,122335,3,3,592700205948100608
M114,10306,38,60,489384,1,1,592331630808735744
M115,10406,57,74,467488,3,3,592891741746921472
M116,10518,56,61,206182,4,4,592344582983057408
M117,10629,5,62,165479,1,4,592749758839713792
M118,10742,20,73,456843,1,1,592342908335820800
M119,10820,59,66,375267,4,3,593198868206133250
M120,10908,45,73,461910,3,1,592294974500241410
M121,11005,25,78,148569,3,3,592344371762106368
M122,11081,3,66,109498,3,3,593459468429492224
M123,11197,38,79,331548,4,4,591915487350493184
M124,11257,9,71,103884,3,3,592632615288573953
M125,11368,54,79,202282,4,3,593745459874631680
M126,11467,16,75,230798,3,2,592326564110585856
M127,11542,26,60,492419,3,3,592735113785581568
M128,11645,33,66,472472,3,3,592273906817458176
M129,11730,29,76,243288,3,3,593359092892176384
M130,11840,33,75,416538,3,3,593831023286288386
M131,11960,48,78,464742,2,2,592903934806720512
M132,12037,29,76,254740,3,3,592377791410089984
M133,12125,20,78,490571,4,4,592684006644260864
M134,12198,25,60,443205,3,3,592690177681825794
M135,12300,47,74,340830,4,3,592186519441383425
M136,12398,34,64,223025,1,1,599933903894355969
M137,12509,27,73,198365,1,1,592194508181245952
M138,12618,57,76,238967,3,3,592353726817443841
M139,12737,15,74,457758,3,3,592312447643602945
M140,12855,27,77,176191,1,1,593701932021194752
M141,12969,57,71,241699,3,3,592908506182918146
M142,13038,50,68,483821,4,4,593271874689175552
M143,13100,34,75,369133,4,4,592183258282098688
M144,13189,3,64,421453,3,3,592342304427417601
M145,13270,33,70,139343,2,2,593660512543514624
M146,13384,23,79,284970,3,3,592657046941597696
M147,13492,58,64,410449,4,4,592674121022078976
M148,13577,33,73,205710,3,3,593801438700122112
M149,13672,34,61,449570,4,4,591959492209856512
M150,13767,37,79,486392,3,3,593117322514014209
M151,13881,24,78,291813,3,3,593355314998550528
M152,13942,15,71,258728,1,1,591934166398332928
M153,14031,30,75,288133,1,1,592689834898137090
M154,14132,23,71,184282,3,4,592147611894833152
M155,14219,49,63,132274,2,3,593121566726074368
M156,14335,56,68,269862,3,2,593785562865082368
M157,14452,27,76,248856,1,1,592824371703590913
M158,14562,38,65,387649,1,1,593283759685832704
M159,14650,11,66,162649,4,4,592126024437125121
M160,14764,35,74,408274,3,3,592137589601267713
M161,14828,9,72,165098,3,3,592208483929296896
M162,14928,3,68,143594,3,3,593160485689778177
M163,15004,12,67,469435,1,1,593122765546205184
M164,15078,3,76,478373,4,4,591928084766412800
M165,15179,51,64,230375,3,3,592113856547131392
M166,15285,12,66,369828,4,4,592367611427586048
M167,15399,54,63,184085,2,2,592343015756169216
M168,15471,8,65,124998,3,4,592699807615086592
M169,15584,40,61,189688,1,1,592335911683104768
M170,15694,59,65,434975,4,4,592875153484316674
M171,15773,6,61,428356,3,3,593025123826864128
M172,15836,0,71,488762,3,3,592631425242763265
M173,15943,17,61,441106,4,4,592117211478753280
M174,16053,21,60,435099,3,3,591990042198835200
M175,16141,29,61,326003,4,4,592208474764902400
M176,16211,3,63,103913,4,4,592343586336681985
M177,16279,4,76,391755,1,1,591940962424889344
M178,16361,38,73,289236,1,1,593395116066242560
M179,16467,5,70,426642,4,4,592700322964996098
M180,16546,2,67,335670,3,3,593156830534078464
M181,16607,22,62,237404,3,3,600034425129271297
M182,16709,4,70,455200,4,4,592338885927182337
M183,16814,8,70,331093,3,1,591909208620142592
M184,16884,4,70,301104,4,4,592700345656172544
M185,16978,29,70,207741,3,3,593149954794921987
M186,17062,16,70,130929,2,3,593296832060489729
M187,17152,49,69,144663,4,4,592763915353858048
M188,17212,34,61,473411,1,3,592700919109791744
M189,17310,19,64,121500,3,3,593466034495082496
M190,17386,48,61,480695,4,4,600447008835543040
M191,17479,11,68,114379,1,1,592358000112861186
M192,17564,16,71,294465,3,3,593442271292305408
M193,17661,8,77,261859,4,4,592162156025610240
M194,17727,16,68,121377,1,1,593183136294436864
M195,17809,24,67,472602,3,3,592343878474293250
M196,17907,49,79,435557,3,3,592342680144719873
M197,18013,21,70,360389,1,1,592909332750143493
M198,18096,44,67,396669,4,4,592670963340353537
M199,18157,50,78,302244,4,4,600481398944768000
M200,18261,7,72,488494,1,1,592821756462821378
M201,18351,43,64,440426,3,3,600101493753171969
M202,18450,48,76,102925,3,3,592343665844051968
M203,18519,21,74,211335,1,1,592913342575943681
M204,18605,49,62,274198,4,4,593324254986276864
M205,18718,48,69,360955,3,3,591975137227870211
M206,18830,10,70,213521,4,1,592327306909069312
M207,18909,9,75,328983,1,1,592698937804509184
M208,19007,37,68,143082,2,3,592684312153174016
M209,19072,25,67,355562,4,2,592357231649161217
M210,19181,11,71,394054,1,1,591992442049560577
M211,19257,58,70,398747,4,3,592950303982559232
M212,19337,14,71,236486,4,4,593312043748331521
M213,19455,10,67,131459,1,1,593029346534686721
M214,19548,29,64,115587,3,3,593188602860941312
M215,19661,21,77,285542,3,3,592258346163441665
M216,19732,31,77,153450,1,1,592340951357468672
M217,19838,19,78,163700,4,1,592672862101741568
M218,19958,28,61,422400,2,2,592322469874237440
M219,20022,27,72,443446,3,3,593005207371390976
M220,20096,32,66,342349,3,2,592874066094202880
M221,20164,54,79,142012,3,3,592344738361028608
M222,20239,12,72,186020,3,3,592655380167139328
M223,20317,25,74,461037,1,1,593073343999377409
M224,20381,46,72,378417,4,4,592269963685048322
M225,20495,54,76,195190,3,3,593186080314290177
M226,20570,16,64,152162,2,3,593110310808133632
M227,20686,56,77,315431,1,4,591989866990174209
M228,20792,54,67,369275,4,4,592656993615228929
M229,20862,16,65,341584,3,4,592684424749305856
M230,20964,30,67,362016,3,3,592344307626946560
M231,21071,42,79,187590,4,3,592707878919786497
M232,21138,18,63,102210,3,3,592620264330010624
M233,21205,13,67,159583,3,2,592155361701953537
M234,21287,10,77,304606,3,4,593110560872341504
M235,21351,27,69,392374,3,3,592267523967483904
M236,21436,29,63,390526,4,4,592342011992236032
M237,21525,43,63,337596,3,4,592680034718130178
M238,21625,22,78,403414,3,3,592353565483597824
M239,21719,29,76,297893,1,1,593305199890079744
M240,21806,37,74,382284,4,2,592340850090225666
M241,21879,44,66,117535,3,2,593164532740141056
M242,21974,29,60,454019,3,3,592131684201431040
M243,22061,10,73,422950,4,4,591928379693211648
M244,22172,2,77,402483,1,1,593396270741479424
M245,22274,30,64,444134,4,4,592343637272367104
M246,22378,49,62,468796,1,3,592343566950608896
M247,22472,34,67,314774,4,4,592376053286375424
M248,22554,3,65,265923,1,1,593187654511960065
M249,22631,6,67,310373,3,3,593602279120379904
M250,22718,49,68,113664,3,2,593115676107149312
M251,22812,18,64,468125,2,1,593181531432198144
M252,22894,48,79,172401,3,3,593355409450278912
M253,22962,9,60,468557,3,3,593354112604835840
M254,23028,55,74,215113,3,3,592344708896169984
M255,23090,10,75,312937,3,3,592692001361002499
M256,23162,39,68,116716,3,3,592688864516567043
M257,23246,26,79,108828,3,3,592226630480834560
M258,23323,9,79,143263,1,1,592344841859674115
M259,23393,20,64,145378,3,3,592203704301846529
M260,23472,26,63,307512,1,1,592343136921227264
M261,23575,13,63,155470,4,4,592153214650359808
M262,23654,26,62,200996,3,3,592089569396281344
M263,23770,7,66,194566,4,4,592337496639287297
M264,23865,37,64,214214,4,4,593276690635227136
M265,23933,57,61,440247,3,3,592269113742925824
M266,24052,22,70,396588,4,4,592732198521982979
M267,24165,27,72,473656,2,2,592868455021412353
M268,24272,40,76,441872,4,4,592115412529127424
M269,24341,55,67,186112,3,3,593440864896028672
M270,24449,12,65,444816,2,3,592176468601409536
M271,24551,9,71,114101,4,4,592344157873696769
M272,24657,21,70,248249,4,4,592137499322941440
M273,24760,57,78,144856,1,1,593170319407521793
M274,24856,32,70,383852,4,3,593042251401461760
M275,24936,3,77,336005,4,4,593798614020968448
M276,25051,25,61,440922,1,1,592343508209553410
M277,25170,58,78,358894,1,2,592149334994518016
M278,25272,7,68,160383,4,4,592234977267355648
M279,25353,13,78,454254,3,3,592851099234738177
M280,25443,57,62,180221,3,3,593739709458681856
M281,25537,3,71,479955,4,3,593248695489044481
M282,25601,41,71,359184,4,4,592088814279139328
M283,25666,31,70,219694,3,3,600022444628283392
M284,25755,49,64,206220,4,4,593832938799673344
M285,25849,54,60,211665,4,4,593325003082432512
M286,25921,21,62,177071,1,3,592272191745490944
M287,25997,18,62,487575,3,3,592697717467586561
M288,26065,56,71,247008,1,3,592600384452997120
M289,26180,36,70,455449,3,3,593359308944879616
M290,26270,48,68,106393,1,1,592384707205144576
M291,26346,1,77,342176,2,3,592651449001095169
M292,26453,58,67,275328,3,2,593824046111830017
M293,26571,25,68,450885,1,1,592663891911516160
M294,26648,11,61,118908,3,3,591954283412631553
M295,26762,38,60,448752,2,2,593157615279968256
M296,26868,28,78,197884,2,3,592913734185652224
M297,26976,44,64,179724,4,4,592342776181858304
M298,27068,23,63,187017,3,3,593077445672112128
M299,27183,17,75,232416,3,2,592746963839406081
M300,27252,36,76,231778,3,1,591960470283771904
M301,27317,55,63,236087,3,3,593377856434089984
M302,27435,15,70,150156,2,2,592344945849139200
M303,27524,38,63,314176,3,3,592344855935758338
M304,27608,6,71,288479,3,3,592277507698720768
M305,27712,9,65,266320,3,2,592330486069891073
M306,27790,28,66,375143,4,4,592085562904813568
M307,27888,3,72,147596,2,3,592344802957651968
M308,27999,38,78,235571,4,4,592336650098708480
M309,28107,34,76,403107,3,3,592278369909125120
M310,28174,23,60,470878,3,3,592243314809704450
M311,28293,45,64,103801,3,1,593324598315192320
M312,28397,59,77,443907,1,1,592406962643574784
M313,28499,55,71,406190,3,3,592375750193389568
M314,28570,24,65,222406,3,3,593144673121783808
M315,28686,36,70,471524,3,3,592176604324888576
M316,28769,17,79,115560,3,3,592344734544240640
M317,28886,5,68,444974,4,4,592843696565002240
M318,28960,48,60,407277,3,3,592332971920658432
M319,29025,24,71,325872,3,3,593422674040397824
M320,29136,28,76,196005,1,1,592308789925289984
M321,29231,24,76,216427,4,4,592247094397640704
M322,29314,16,74,232864,4,3,592701122197987328
M323,29433,42,64,332166,3,3,592342064488128512
M324,29552,17,69,331734,3,3,593188232889761792
M325,29612,1,69,447765,4,4,593830739436818432
M326,29710,56,74,499552,1,3,592160377519017984
M327,29819,42,61,477347,3,3,593296678490365953
M328,29921,57,61,219871,3,3,592657983911366657
M329,30017,49,70,492908,4,4,592370762121609216
M330,30108,38,61,287409,1,1,593830956856905730
M331,30200,59,75,397309,3,3,592162497303449600
M332,30278,16,69,350980,3,3,593161376341852161
M333,30346,9,79,287404,1,1,591933544424935425
M334,30430,42,64,373349,3,3,592589121878630400
M335,30532,41,69,193611,1,3,592341761562955777
M336,30649,13,77,184866,4,4,592342104946257922
M337,30767,59,65,147907,3,4,592690407600971776
M338,30839,19,64,338129,3,2,592343048362786816
M339,30900,58,71,430518,3,1,593024071736139777
M340,31020,32,72,317643,3,3,591988823069888512
M341,31120,10,67,325139,3,3,593802112397606914
M342,31226,24,76,363432,4,4,592256577555529729
M343,31335,7,62,462694,3,3,593828081774796800
M344,31416,21,73,145998,2,3,592340255748988928
M345,31528,33,70,345215,3,1,593159037396656130
M346,31627,58,78,150517,4,2,592764906555973635
M347,31726,58,75,374196,3,3,593465791783313409
M348,31809,10,76,490211,3,3,597789995307413505
M349,31889,40,77,450406,3,4,592340605130289152
M350,31972,36,60,428521,3,3,593164168817201153
M351,32075,22,79,460296,2,3,592640964633595904
M352,32165,2,62,431023,2,1,592251295194484737
M353,32226,33,67,437134,3,4,593178914480087040
M354,32287,5,65,473642,3,3,592343937479643136
M355,32358,48,65,201039,4,4,592344180359241728
M356,32448,12,61,484260,3,3,593017270978408448
M357,32544,46,62,401184,3,3,592262814682591232
M358,32663,59,65,257395,3,3,593074564927598592
M359,32770,29,68,469749,2,4,592646909074022400
M360,32847,43,64,401627,4,4,591944948062113793
M361,32938,24,76,492980,3,3,593798878077550592
M362,33043,52,60,356648,4,4,592382316208500736
M363,33156,41,64,497351,4,4,592270343391162368
M364,33243,2,79,323940,4,4,592670203911217153
M365,33346,22,76,482584,3,3,592139482150735872
M366,33418,40,77,371740,3,3,592344953965121537
M367,33506,29,74,431296,4,4,592329314328289280
M368,33621,26,70,227773,4,4,592905148952924160
M369,33704,26,64,435859,4,4,592174209851330561
M370,33765,24,76,444872,3,3,592289464531034114
M371,33873,31,72,257331,3,3,592084542132920320
M372,33951,42,77,262809,2,2,592997903251025921
M373,34037,17,76,372235,3,3,592329141199876097
M374,34157,18,77,159271,4,4,591913016838508545
M375,34240,29,78,494711,1,3,592344069789061120
M376,34315,30,60,104392,2,2,592321120277135360
M377,34389,29,63,170010,3,3,592335443141660672
M378,34500,15,71,355676,3,4,592700669662011393
M379,34573,42,76,428640,3,1,592912454734217216
M380,34669,23,77,192652,3,3,593701523747667968
M381,34743,36,75,355050,2,1,592204506013700096
M382,34852,31,77,482427,3,2,593042055351246851
M383,34955,47,64,163691,4,3,592343322477232128
M384,35053,9,76,178001,4,4,592250013285224448
M385,35138,9,65,200207,3,3,592700411204771840
M386,35220,16,60,226472,4,4,593261012263964672
M387,35337,58,79,336994,3,3,592339015283572736
M388,35443,25,71,493653,4,4,592310653651562496
M389,35526,1,67,428756,4,4,593258471111274496
M390,35587,28,67,307942,3,3,593186627981340673
M391,35654,16,65,349416,4,1,593501343035207682
M392,35741,48,74,468810,1,1,592329391495053312
M393,35829,1,74,482580,3,3,592329784983556096
M394,35911,38,67,412575,1,1,592291575906082816
M395,36031,2,62,418926,3,3,591921148994007040
M396,36120,33,66,147586,3,3,600315569498259456
M397,36228,47,69,223446,3,3,593184937047494657
M398,36295,52,76,186393,2,2,592338431004397568
M399,36377,7,67,423636,1,1,593115848136630273
M400,36450,11,69,254871,3,3,592701098055598082
M401,36518,9,70,124411,1,1,592333525103288320
M402,36612,6,62,452383,3,3,592344880988299264
M403,36680,1,72,467994,3,3,593609382119641088
M404,36763,23,68,233595,3,4,591977887642746880
M405,36864,27,72,482334,4,3,593694273242931200
M406,36972,8,74,285233,4,4,593256947639398402
M407,37066,50,68,227469,4,4,593014290585657344
M408,37162,33,67,292306,4,4,591986639817216000
M409,37239,47,77,303889,3,3,592694922144260096
M410,37351,34,75,229902,1,1,591975610655776769
M411,37422,32,76,356265,3,4,592339030618021888
M412,37526,7,74,414594,4,4,592377513512316928
M413,37591,23,78,437381,3,3,592326110379126787
M414,37687,42,77,121930,3,3,592689853441167362
M415,37762,14,68,256145,2,1,592337866904051713
M416,37839,33,78,190364,1,1,592175527277953027
M417,37920,38,74,450422,3,3,592737382274879489
M418,38027,25,75,430034,3,2,593760241919074304
M419,38135,59,68,212785,3,4,592198410477772800
M420,38210,55,67,346537,3,3,592343766029185024
M421,38302,37,65,180926,3,3,593107718619140096
M422,38366,51,61,304730,2,2,593333859506331648
M423,38480,47,73,489236,4,4,592740825391575041
M424,38598,13,78,247803,2,3,592344535268593664
M425,38680,14,78,196245,2,3,592372900960858112
M426,38772,9,68,152055,3,4,593184365477265408
M427,38864,6,76,241761,1,1,591987116470444032
M428,38971,54,73,282714,3,3,592665039955460096
M429,39035,24,65,370557,3,3,592673035221671936
M430,39127,9,72,494838,3,3,593760928572657665
M431,39238,17,64,232214,3,3,592778333542289408
M432,39335,45,78,338035,3,3,593463999229988866
M433,39428,21,75,493621,3,3,593805268217044992
M434,39490,18,73,330632,3,3,592328577376456704
M435,39606,34,74,319730,1,1,592258335253999616
M436,39677,21,78,496048,3,3,593166631301304320
M437,39758,25,77,485910,3,3,592267197944205312
M438,39859,33,69,454162,1,4,593030724678193152
M439,39947,21,62,176589,3,1,593817252006338560
M440,40041,55,78,499680,1,1,593707771008131073
M441,40136,41,77,416980,4,4,592343104021262336
M442,40205,0,71,481454,2,2,593254575668203520
M443,40265,48,68,260096,3,3,592623219825373184
M444,40383,9,64,366999,4,3,592344660972085248
M445,40492,32,65,436672,1,1,592265829288312832
M446,40561,43,78,222125,3,3,593440530542931968
M447,40661,14,66,432857,3,3,592373114668855296
M448,40752,23,63,351257,1,1,591939212200423424
M449,40856,54,79,486275,4,3,593106598907748353
M450,40924,17,77,239284,4,4,591919579556786176
M451,41026,7,79,237812,3,4,592690229166866432
M452,41129,57,71,424308,3,3,592170440459743232
M453,41249,23,61,118435,3,3,592341681359462401
M454,41325,15,78,154920,3,3,592404629402562561
M455,41411,55,66,169999,3,3,592109590625558529
M456,41479,42,75,285018,4,4,592872744095744000
M457,41539,42,74,252739,2,2,591989002913316865
M458,41601,57,79,436311,2,3,591939674328813568
M459,41688,4,60,484732,4,4,592181225688682496
M460,41758,45,79,281805,1,1,593181573664612352
M461,41863,36,60,328257,4,4,593097361972457472
M462,41934,42,63,340407,3,3,592341270850211841
M463,42032,35,60,259604,4,3,591992433736601600
M464,42124,43,64,139313,2,2,591984998758002689
M465,42204,43,77,448821,3,3,593662200578904064
M466,42291,48,79,214042,1,1,592339797911343104
M467,42411,20,66,391531,3,3,592344291483222016
M468,42529,16,73,481795,3,3,592334786091307009
M469,42605,28,66,360865,1,1,593057730371440640
M470,42723,37,77,362776,3,3,592872096914644992
M471,42796,20,75,381237,3,3,592188336950804480
M472,42904,48,70,245976,4,4,592188182889943042
M473,42985,42,66,376496,3,3,591975655312478208
M474,43085,53,62,306752,3,3,592750556873121794
M475,43184,37,74,412535,3,3,592343385085607936
